2025-08-24 18:30:33,666 | INFO | meupet | __init__.py:53 | MeuPet inicializado.
2025-08-24 18:55:47,461 | INFO | meupet | __init__.py:53 | MeuPet inicializado.
2025-08-24 18:55:48,379 | INFO | meupet | __init__.py:53 | MeuPet inicializado.
2025-08-24 18:58:33,578 | INFO | meupet | __init__.py:53 | MeuPet inicializado.
2025-08-24 19:14:28,570 | INFO | meupet | __init__.py:53 | MeuPet inicializado.
2025-08-24 19:14:42,194 | INFO | meupet | __init__.py:53 | MeuPet inicializado.
2025-08-24 19:14:54,765 | INFO | meupet | __init__.py:53 | MeuPet inicializado.
2025-08-24 19:22:51,614 | INFO | meupet | __init__.py:53 | MeuPet inicializado.
2025-08-24 19:22:52,478 | INFO | meupet | __init__.py:53 | MeuPet inicializado.
2025-08-24 19:24:26,870 | INFO | meupet | __init__.py:53 | MeuPet inicializado.
2025-08-24 19:24:28,601 | INFO | meupet | __init__.py:53 | MeuPet inicializado.
2025-08-24 19:30:18,201 | INFO | meupet | __init__.py:53 | MeuPet inicializado.
2025-08-24 19:34:02,625 | INFO | meupet | __init__.py:53 | MeuPet inicializado.
2025-08-24 19:34:10,537 | INFO | meupet | __init__.py:53 | MeuPet inicializado.
2025-08-24 19:34:11,394 | INFO | meupet | __init__.py:53 | MeuPet inicializado.
2025-08-24 19:48:07,152 | INFO | meupet | __init__.py:53 | MeuPet inicializado.
2025-08-24 19:48:23,721 | INFO | meupet | __init__.py:53 | MeuPet inicializado.
2025-08-24 19:48:43,345 | INFO | meupet | __init__.py:53 | MeuPet inicializado.
2025-08-25 08:21:29,423 | INFO | meupet | __init__.py:53 | MeuPet inicializado.
2025-08-25 08:28:22,567 | INFO | meupet | __init__.py:53 | MeuPet inicializado.
2025-08-25 08:54:45,310 | INFO | meupet | __init__.py:30 | DB: sqlite:///E:/TSI_06/desenvolvimento_e_execucao_de_projeto_de_software/TCC/projeto_meu_pet/meu_pet/instance/meupet.db
